證券代號,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
2881B,58100,10,3503730,60.3,60.4,60.3,60.4,0.0,60.2,38,60.3,4,0.0
2881C,18816,36,1114056,59.2,59.3,59.2,59.3,0.1,59.2,38,59.3,7,0.0
2882,12168256,6155,544682924,44.7,44.95,44.5,44.95,0.1,44.9,3,44.95,428,5.68
2882A,28003,17,1696280,60.5,60.6,60.5,60.6,0.0,60.5,33,60.6,39,0.0
2882B,4024,4,243447,60.5,60.5,60.5,60.5,0.0,60.3,5,60.5,59,0.0
2883,36845553,12109,470760457,12.75,12.85,12.7,12.85,0.05,12.8,489,12.85,2488,6.8
2883B,1042606,242,8796089,8.45,8.45,8.42,8.42,0.04,8.41,122,8.42,30,0.0
2884,28127004,13027,760865706,27.2,27.3,26.9,27.2,0.15,27.2,19,27.25,107,18.5
2885,10235627,3751,205488912,20.05,20.15,19.95,20.15,0.0,20.1,51,20.15,111,7.72
2886,16080012,5949,571591776,35.75,35.75,35.4,35.6,0.1,35.55,95,35.6,223,18.94
2887,18126949,6418,283151279,15.7,15.75,15.55,15.65,0.1,15.6,462,15.65,430,10.65
2887E,24502,21,1266134,51.7,51.7,51.6,51.7,0.0,51.6,47,51.7,11,0.0
2887F,14005,11,698048,49.9,49.9,49.8,49.85,0.05,49.7,11,49.85,10,0.0
2887Z1,427919,70,7138866,16.65,16.75,16.65,16.7,0.05,16.7,181,16.75,24,0.0
2888,27557795,6498,233185715,8.46,8.52,8.43,8.52,0.01,8.5,50,8.52,784,7.41
2888A,15170,17,603666,39.8,39.8,39.75,39.8,0.0,39.75,7,39.85,29,0.0
2888B,82178,51,3269771,39.8,39.8,39.75,39.8,0.0,39.75,25,39.8,4,0.0
2889,1590798,970,21102344,13.35,13.4,13.2,13.3,0.05,13.25,85,13.3,21,13.57
2890,17117236,4450,285951978,16.75,16.8,16.6,16.8,0.05,16.75,511,16.8,1375,11.67
2891,33265322,9918,742457332,22.35,22.55,22.25,22.3,0.15,22.3,402,22.35,763,8.78
2891B,2004,3,123044,61.4,61.4,61.4,61.4,0.0,60.9,1,61.4,22,0.0
2891C,1616,7,97056,60.1,60.1,60.1,60.1,0.0,60.0,24,60.1,31,0.0
2892,22370389,6497,601444714,26.95,26.95,26.75,26.95,0.0,26.95,380,27.0,1681,17.73
2897,2204943,627,17883260,8.15,8.16,8.09,8.1,0.06,8.1,187,8.11,21,12.46
2897A,52260,14,522753,10.05,10.05,9.99,10.05,0.0,10.0,30,10.05,40,0.0
2901,24891,67,591083,23.8,23.9,23.6,23.6,0.15,23.55,2,23.7,1,295.0
2903,348222,260,6511472,18.85,18.85,18.65,18.65,0.2,18.65,22,18.75,40,25.2
2904,17083,16,362317,21.3,21.35,21.1,21.1,0.3,21.05,2,21.2,1,24.25
2905,214854,175,3827957,18.0,18.05,17.75,17.75,0.25,17.75,16,17.8,6,0.0
2906,1599053,777,30496023,19.1,19.3,18.8,19.15,0.05,19.15,17,19.2,12,34.2
2908,115284,99,2478970,21.35,21.7,21.3,21.6,0.25,21.55,1,21.6,7,14.03
2910,10000,10,303600,30.0,30.75,30.0,30.4,0.05,30.2,5,30.4,1,47.5
2911,86691,189,567564,6.65,6.65,6.51,6.57,0.06,6.57,1,6.58,2,0.0
2912,959023,1170,265513374,278.5,279.0,275.5,276.5,0.0,276.5,4,277.0,11,34.56
2913,239493,197,4531546,18.9,19.1,18.85,18.85,0.15,18.85,4,18.9,2,0.0
2915,5728730,6068,373258716,65.3,65.9,64.5,65.0,0.9,65.0,230,65.1,24,3.49
2923,24060,20,555110,22.6,23.2,22.6,22.75,0.2,22.7,1,23.1,1,21.46
2929,222024,138,2506325,11.3,11.4,11.2,11.25,0.05,11.25,8,11.3,7,0.0
2939,52000,34,1687100,32.95,33.15,32.2,32.3,0.65,32.25,1,32.75,1,0.0
2945,23307,29,1073567,46.3,46.4,45.9,46.3,0.1,46.05,2,46.3,1,17.88
3002,248035,172,2974470,12.15,12.15,11.8,12.0,0.0,11.95,4,12.0,1,0.0
3003,1623330,1344,130956728,82.4,82.4,79.5,80.3,2.0,80.2,2,80.3,6,14.95
3004,67188,59,4196048,62.9,62.9,62.1,62.4,0.1,62.2,3,62.6,6,0.0
3005,1857703,1418,84136338,46.0,46.3,44.7,44.85,1.65,44.85,11,44.95,23,6.28
3006,5344959,4247,418122203,79.3,80.0,77.2,77.4,2.1,77.4,8,77.5,23,4.28
3008,853461,2232,1752893015,2035.0,2080.0,2020.0,2065.0,35.0,2060.0,11,2065.0,3,13.22
3010,237557,234,20566260,86.9,87.4,86.1,86.7,0.9,86.7,2,86.9,2,6.79
