證券代號,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
9110,85000,22,259980,3.12,3.12,3.05,3.08,0.02,3.04,14,3.08,1,0.0
911608,53004,13,151991,2.92,2.92,2.86,2.9,0.02,2.86,27,2.88,1,0.0
911622,9050,5,45807,5.08,5.08,5.03,5.03,0.17,5.04,3,5.18,9,0.0
911868,411000,38,449150,1.1,1.1,1.08,1.1,0.0,1.08,44,1.1,66,0.0
912000,135000,53,302080,2.27,2.31,2.2,2.25,0.0,2.23,10,2.25,3,0.0
9136,1145201,158,7512875,6.41,6.89,6.33,6.89,0.48,6.59,2,6.89,21,0.0
9802,4570455,3426,706619660,159.0,160.0,151.0,153.0,9.0,152.5,15,153.0,26,20.24
9902,23839,46,248316,10.45,10.45,10.4,10.45,0.05,10.45,1,10.5,1,9.33
9904,6371760,3014,169238604,26.8,26.85,26.35,26.5,0.35,26.5,187,26.55,109,6.11
9905,30410,29,766320,25.05,25.35,25.05,25.15,0.15,25.15,1,25.2,5,13.1
9906,116000,76,5412000,46.3,47.9,46.2,47.9,0.3,47.65,2,48.0,3,9.12
9907,4515406,1719,72685178,16.3,16.3,16.0,16.0,0.3,15.95,95,16.0,57,11.03
9908,57244,64,1893437,32.95,33.2,32.95,33.1,0.05,33.05,3,33.1,2,19.94
9910,735258,660,117528810,161.5,162.5,159.0,160.0,1.5,160.0,44,160.5,15,28.37
9911,129141,200,8109569,63.2,63.3,62.5,62.8,0.4,62.8,5,62.9,2,13.45
9912,1551299,852,18968494,12.85,12.85,11.8,12.0,0.7,12.0,16,12.05,10,32.43
9914,687168,616,154391736,225.0,228.5,222.5,224.5,4.5,224.0,21,224.5,7,14.27
9917,144679,194,14784141,102.0,102.5,101.5,102.5,0.5,101.5,76,102.5,10,17.11
9918,6194,15,272898,43.4,44.65,43.4,44.0,0.75,43.5,2,44.0,2,25.58
9919,582415,380,9377734,16.4,16.4,15.95,16.0,0.35,16.0,17,16.05,9,69.57
9921,753754,739,182326001,245.0,245.5,237.0,243.5,1.5,243.5,1,244.0,17,15.1
9924,60185,58,2418007,40.15,40.3,40.05,40.3,0.15,40.2,1,40.3,1,12.25
9925,59217,77,2320820,39.05,39.4,39.05,39.25,0.05,39.2,2,39.25,7,15.39
9926,24000,16,1251500,52.3,52.4,52.0,52.1,0.3,52.2,2,52.3,1,20.92
9927,269022,175,10751196,39.9,40.3,39.75,39.95,0.15,39.95,7,40.0,6,8.12
9928,4026,6,58727,14.5,14.65,14.5,14.6,0.05,14.4,1,14.65,5,0.0
9929,72000,35,653100,9.08,9.2,8.87,9.04,0.03,9.02,1,9.04,4,0.0
9930,42031,32,1955457,46.3,46.9,46.2,46.45,0.15,46.4,5,46.5,2,16.53
9931,6000,6,237300,39.65,39.65,39.5,39.55,0.3,39.6,1,39.7,1,20.71
9933,1190623,893,52060091,43.2,44.15,43.2,43.65,0.0,43.6,18,43.65,7,13.35
9934,158015,70,1893135,12.1,12.1,11.9,12.0,0.1,11.95,9,12.0,4,0.0
9935,63088,56,1127312,18.0,18.0,17.8,17.9,0.4,17.9,1,17.95,1,0.0
9937,33477,28,1636711,48.8,49.0,48.75,48.85,0.0,48.7,2,48.85,4,19.78
9938,1745214,933,97818598,55.9,57.1,55.3,55.8,0.0,55.8,11,55.9,2,8.56
9939,576196,545,41828697,72.9,73.3,72.3,72.6,0.6,72.5,10,72.6,6,10.24
9940,227157,206,6807466,29.9,30.2,29.9,29.95,0.0,29.9,51,29.95,3,9.33
9941,793340,1505,139936185,178.0,178.0,175.5,175.5,3.0,175.5,15,176.0,6,14.86
9941A,5002,5,252302,50.5,50.5,50.4,50.5,0.1,50.4,4,50.5,8,0.0
9942,27661,44,2392226,86.8,86.8,86.2,86.6,0.2,86.5,3,86.8,4,13.0
9943,56292,62,3054087,54.4,54.6,54.0,54.2,0.4,54.1,1,54.2,9,285.26
9944,56337,54,1147955,20.45,20.5,20.0,20.45,0.05,20.35,2,20.5,10,4.09
9945,11045704,9216,626640847,57.5,57.8,56.0,56.4,1.5,56.3,126,56.4,4,8.77
9946,33153,32,428271,12.9,13.0,12.85,12.85,0.05,12.85,4,12.9,2,18.36
9955,21530479,10168,489542291,22.15,23.6,22.05,23.15,1.55,23.1,4,23.15,29,0.0
9958,1306447,915,129861169,98.5,100.5,98.0,99.9,1.0,99.9,6,100.0,37,17.11
